Motions - Vessel 1
Time	Surge - Vessel 1	Sway - Vessel 1	Heave - Vessel 1	Roll - Vessel 1	Pitch - Vessel 1	Yaw - Vessel 1
2000-01-01 00:00:12	0.00018232	0.00202022	0.000773247	-0.00233533	-3.37353E-05	-0.000424319
2000-01-01 00:00:12	0.00019078	0.00202016	0.000784472	-0.0021475	-4.06216E-05	-0.000451166
2000-01-01 00:00:13	0.000198811	0.00200381	0.000791586	-0.00191314	-4.65205E-05	-0.00047669
2000-01-01 00:00:13	0.000206112	0.0019742	0.000794753	-0.00163717	-5.13164E-05	-0.000500684
2000-01-01 00:00:13	0.0002125	0.00193534	0.000794245	-0.00132617	-5.4943E-05	-0.000523292
2000-01-01 00:00:13	0.000217978	0.00189174	0.000790429	-0.000988011	-5.7389E-05	-0.000544918
2000-01-01 00:00:14	0.000222761	0.00184793	0.000783743	-0.000631462	-5.87193E-05	-0.000566126
2000-01-01 00:00:14	0.000227193	0.00180803	0.000774674	-0.000265826	-5.89983E-05	-0.000587447
2000-01-01 00:00:14	0.0002316	0.0017754	0.000763743	9.94168E-05	-5.82949E-05	-0.00060931
2000-01-01 00:00:14	0.000236216	0.00175235	0.000751483	0.000454911	-5.67028E-05	-0.000632072
2000-01-01 00:00:15	0.000241182	0.00174006	0.000738423	0.000791796	-5.43351E-05	-0.000655938
2000-01-01 00:00:15	0.000246561	0.00173847	0.000725071	0.00110201	-5.132E-05	-0.000680902
2000-01-01 00:00:15	0.00025235	0.00174646	0.000711893	0.00137853	-4.77956E-05	-0.000706693
2000-01-01 00:00:15	0.000258484	0.0017621	0.000699305	0.00161551	-4.3904E-05	-0.000732771
2000-01-01 00:00:16	0.00026485	0.00178292	0.000687662	0.0018084	-3.9786E-05	-0.000758406
2000-01-01 00:00:16	0.000271304	0.00180612	0.000677254	0.00195388	-3.56088E-05	-0.000782826
2000-01-01 00:00:16	0.000277688	0.00182892	0.000668303	0.00204981	-3.15601E-05	-0.000805285
2000-01-01 00:00:16	0.000283828	0.00184879	0.000660957	0.00209522	-2.78059E-05	-0.000825043
2000-01-01 00:00:17	0.000289526	0.00186375	0.000655293	0.00209022	-2.44845E-05	-0.000841442
2000-01-01 00:00:17	0.000294569	0.0018725	0.000651317	0.00203584	-2.17028E-05	-0.000853968
2000-01-01 00:00:17	0.000298741	0.00187445	0.000648972	0.00193406	-1.95346E-05	-0.000862447
2000-01-01 00:00:17	0.000301795	0.00186982	0.000648143	0.00178763	-1.80177E-05	-0.000866766
2000-01-01 00:00:18	0.000303415	0.0018594	0.000648665	0.00160018	-1.71503E-05	-0.000867118
2000-01-01 00:00:18	0.000303115	0.00184453	0.000650317	0.00137657	-1.68452E-05	-0.000863858
2000-01-01 00:00:18	0.000298989	0.00182692	0.000652698	0.00112776	-1.68992E-05	-0.000857776
2000-01-01 00:00:18	0.000303655	0.00180973	0.000641362	0.00129879	-1.28512E-05	-0.000850352
2000-01-01 00:00:19	0.000300112	0.00179342	0.00063121	0.00143197	-8.94302E-06	-0.000841836
2000-01-01 00:00:19	0.000297647	0.00177965	0.000621985	0.00153262	-5.63052E-06	-0.000830361
2000-01-01 00:00:19	0.000295086	0.00176975	0.00061382	0.00159746	-2.83379E-06	-0.000816823
2000-01-01 00:00:19	0.000292462	0.00176455	0.00060679	0.00162474	-5.26338E-07	-0.000801624
2000-01-01 00:00:20	0.000289791	0.00176431	0.000600943	0.0016137	1.32691E-06	-0.000785118
2000-01-01 00:00:20	0.000287091	0.00176875	0.000596294	0.00156452	2.74017E-06	-0.000767695
2000-01-01 00:00:20	0.000284396	0.00177713	0.000592829	0.00147836	3.70603E-06	-0.000749765
2000-01-01 00:00:20	0.000281744	0.00178843	0.000590506	0.00135736	4.22605E-06	-0.000731645
2000-01-01 00:00:21	0.000279163	0.00180143	0.000589256	0.00120452	4.31164E-06	-0.000713563
2000-01-01 00:00:21	0.00027667	0.00181484	0.000588991	0.00102363	3.98411E-06	-0.000695675
2000-01-01 00:00:21	0.000274277	0.00182746	0.000589604	0.000819077	3.27433E-06	-0.000678089
2000-01-01 00:00:21	0.000271988	0.00183826	0.000590973	0.000595738	2.22094E-06	-0.000660893
2000-01-01 00:00:22	0.000269812	0.00184646	0.000592968	0.000358808	8.68158E-07	-0.000644182
2000-01-01 00:00:22	0.000267757	0.00185166	0.000595453	0.000113697	-7.06113E-07	-0.000627983
2000-01-01 00:00:22	0.000265825	0.00185379	0.000598298	-0.000134115	-2.39348E-06	-0.000612287
2000-01-01 00:00:22	0.000264023	0.00185314	0.00060137	-0.00037928	-4.09072E-06	-0.00059715
