2	256	0.02
1	2	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
0	0	
-1E-06	0	
-2E-06	-1E-06	
-3E-06	-1E-06	
-5E-06	-2E-06	
-8E-06	-4E-06	
-1.3E-05	-6E-06	
-1.9E-05	-1E-05	
-2.8E-05	-1.5E-05	
-4E-05	-2.2E-05	
-5.7E-05	-3.1E-05	
-7.8E-05	-4.4E-05	
-0.000105	-6.2E-05	
-0.00014	-8.5E-05	
-0.000184	-0.000114	
-0.000239	-0.000152	
-0.000304	-0.000199	
-0.000383	-0.000257	
-0.000476	-0.000328	
-0.000583	-0.000414	
-0.000705	-0.000515	
-0.00084	-0.000633	
-0.000987	-0.000768	
-0.001142	-0.000919	
-0.001302	-0.001086	
-0.001459	-0.001265	
-0.001607	-0.001453	
-0.001734	-0.001644	
-0.00183	-0.001828	
-0.001882	-0.001998	
-0.001876	-0.002138	
-0.001795	-0.002236	
-0.001623	-0.002275	
-0.001346	-0.002236	
-0.000952	-0.0021	
-0.00043	-0.001846	
0.000225	-0.001456	
0.001015	-0.000912	
0.001933	-0.000201	
0.002966	0.000685	
0.004093	0.001749	
0.005283	0.002985	
0.006499	0.004378	
0.007696	0.0059	
0.008824	0.007515	
0.009833	0.009175	
0.010673	0.01082	
0.0113	0.012384	
0.011681	0.013795	
0.011794	0.014978	
0.011631	0.015863	
0.011201	0.016386	
0.010534	0.016497	
0.009682	0.016163	
0.008716	0.015374	
0.007709	0.014147	
0.006738	0.012524	
0.005883	0.010577	
0.005221	0.008404	
0.004822	0.006127	
0.004735	0.003882	
0.004999	0.001816	
0.005614	7.3E-05	
0.006536	-0.001211	
0.00769	-0.001923	
0.008965	-0.001984	
0.010237	-0.00135	
0.011367	-3.1E-05	
0.012192	0.001918	
0.012545	0.004383	
0.01231	0.007187	
0.011443	0.010109	
0.009986	0.012908	
0.008043	0.015336	
0.005792	0.017171	
0.003459	0.018235	
0.001303	0.018414	
-0.000392	0.017661	
-0.001348	0.016017	
-0.001396	0.013593	
-0.000434	0.010569	
0.001549	0.007211	
0.004465	0.003841	
0.008105	0.000786	
0.012161	-0.001649	
0.016241	-0.003224	
0.019838	-0.003769	
0.022479	-0.003163	
0.023689	-0.001372	
0.023072	0.001515	
0.020456	0.005234	
0.015952	0.009222	
0.009934	0.012947	
0.003016	0.016078	
-0.004016	0.018282	
-0.010269	0.019199	
-0.014843	0.018662	
-0.017017	0.016751	
-0.016336	0.013762	
-0.012616	0.010041	
-0.005997	0.006055	
0.003006	0.002229	
0.013523	-0.001123	
0.024334	-0.0036	
0.034039	-0.004769	
0.041168	-0.004258	
0.0444	-0.001941	
0.042644	0.00188	
0.03553	0.00666	
0.023741	0.0114	
0.008759	0.015873	
-0.007371	0.018711	
-0.022369	0.019064	
-0.03401	0.017635	
-0.040531	0.014506	
-0.040815	0.009998	
-0.034383	0.005258	
-0.021451	0.000786	
