dir	vel
261.1	5.08
256.9	3.94
255.5	2.82
248.5	5.08
234.5	3.38
241.5	4.5
249.9	4.5
247.1	4.5
237.3	3.94
245.7	3.94
251.3	6.2
252.7	5.08
248.5	5.64
259.7	7.31
261.1	7.9
263.9	8.46
261.1	7.9
262.5	7.31
258.3	6.2
261.1	6.76
262.5	6.76
255.5	7.9
252.7	6.76
255.5	3.38
259.7	5.64
258.3	9.57
261.1	9.01
252.7	10.69
261.1	10.69
259.7	8.46
266.7	9.57
266.7	7.31
268.1	9.57
271	8.46
245.7	5.64
249.9	5.08
263.9	8.46
262.5	9.01
251.3	5.64
256.9	9.57
252.7	6.2
261.1	6.76
258.3	4.5
240.1	6.76
261.1	10.13
265.3	10.13
265.3	11.83
255.5	10.13
265.3	9.57
268.1	10.69
255.5	7.9
247.1	5.64
261.1	7.9
273.8	9.57
271	7.9
262.5	8.46
275.2	6.76
263.9	6.76
244.3	6.76
256.9	6.76
244.3	3.38
256.9	3.38
228.8	3.38
249.9	5.08
254.1	9.57
251.3	7.9
261.1	6.76
235.9	3.94
256.9	7.31
254.1	8.46
242.9	4.5
207.8	6.76
230.2	5.64
224.6	3.94
231.6	5.08
228.8	5.08
219	6.76
217.6	5.64
202.2	6.76
206.4	7.9
209.2	7.31
221.8	6.2
206.4	6.76
217.6	5.08
237.3	7.31
227.4	3.94
213.4	5.64
203.6	5.64
219	5.08
210.6	6.2
235.9	5.64
248.5	5.64
234.5	4.5
248.5	6.2
272.4	9.57
268.1	6.2
285	6.2
266.7	6.76
269.6	7.9
263.9	7.9
252.7	5.08
251.3	6.2
255.5	8.46
231.6	5.08
198	6.76
216.2	8.46
207.8	7.9
237.3	7.9
216.2	6.76
203.6	7.31
209.2	7.31
205	8.46
213.4	7.9
216.2	10.13
219	6.76
202.2	8.46
214.8	6.2
198	6.2
224.6	5.08
223.2	6.76
216.2	7.31
207.8	5.64
207.8	6.76
212	7.31
219	7.31
217.6	7.31
214.8	9.01
214.8	7.31
217.6	9.01
219	7.9
214.8	9.57
210.6	8.46
212	7.31
205	6.76
207.8	7.9
221.8	6.76
196.5	6.76
219	8.46
205	6.76
224.6	7.9
217.6	10.13
230.2	8.46
209.2	7.31
202.2	8.46
220.4	10.13
210.6	8.46
207.8	9.01
231.6	6.2
224.6	7.9
224.6	9.01
217.6	8.46
209.2	10.13
214.8	10.13
209.2	9.01
209.2	11.27
213.4	11.27
219	9.01
195.1	9.01
210.6	9.57
206.4	10.69
209.2	7.9
205	9.01
217.6	11.27
209.2	11.83
203.6	11.83
205	10.69
213.4	10.69
216.2	9.57
210.6	7.9
220.4	9.57
196.5	9.57
220.4	8.46
230.2	7.9
206.4	7.31
213.4	8.46
227.4	7.31
213.4	7.9
212	6.76
224.6	9.57
220.4	8.46
203.6	9.57
